#M,NGC,TYPE,CONS,RA,DEC,MAG,SIZE,DIST (ly),VIEWING SEASON,VIEWING DIFFICULTY
M1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,5h 34.5m,22°1,8.4,6.0x4.0,"6,300",Winter,Moderate
M2,NGC 7089,Globular Cluster,Aquarius,21h 33.5m,-0°49,6.5,12.9,"37,500",Autumn,Easy
M3,NGC 5272,Globular Cluster,Canes Venatici,13h 42.2m,28°23,6.2,16.2,"33,900",Spring,Easy
M4,NGC 6121,Globular Cluster,Scorpius,16h 23.6m,-26°32,5.6,26.3,"7,200",Summer,Hard
M5,NGC 5904,Globular Cluster,Serpens Caput,15h 18.6m,2°5,5.6,17.4,"24,500",Summer,Very Easy
M6,NGC 6405 Butterfly Cluster,Open Cluster,Scorpius,17h 40.1m,-32°13,5.3,25,"2,000",Summer,Easy
M7,NGC 6475 Ptolemy¬πs Cluster,Open Cluster,Scorpius,17h 53.9m,-34°49,4.1,80,800,Summer,Easy
M8,NGC 6523 Lagoon Nebula,Diffuse Nebula,Sagittarius,18h 3.8m,-24°23,6,90x40,"5,200",Summer,Moderate
M9,NGC 6333,Globular Cluster,Ophiucus,17h 19.2m,-18°31,7.7,9.3,"26,700",Summer,Moderate
M10,NGC 6254,Globular Cluster,Ophiucus,16h 57.1m,-4°6,6.6,15.1,"14,400",Summer,Moderate
M11,NGC 6705 Wild Duck Cluster,Open Cluster,Scutum,18h 51.1m,-6°16,6.3,14,"6,000",Summer,Very Easy
M12,NGC 6218,Globular Cluster,Ophiucus,16h 47.2m,-1°57,6.7,14.5,"16,000",Summer,Moderate
M13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,16h 41.7m,36°28,5.8,16.6,"22,800",Summer,Very Easy
M14,NGC 6402,Globular Cluster,Ophiucus,17h 37.6m,-3°15,7.6,11.7,"27,400",Summer,Moderate
M15,NGC 7078,Globular Cluster,Pegasus,21h 30m,12°10,6.2,12.3,"33,600",Autumn,Easy
M16,NGC 6611 Eagle Nebula Cluster,Open Cluster,Serpens Claudia,18h 18.8m,-13°47,6.4,7,"7,000",Summer,Easy
M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,18h 20.8m,-16°11,7,11,"5,000",Summer,Easy
M18,NGC 6613,Open Cluster,Sagittarius,18h 19.9m,-17°8,7.5,9,"4,900",Summer,Moderate
M19,NGC 6273,Globular Cluster,Ophiucus,17h 2.6m,-26°16,6.8,13.5,"27,100",Summer,Moderate
M20,NGC 6514 Trifid Nebula,Diffuse Nebula,Sagittarius,18h 2.3m,-23°2,9,28,"5,200",Summer,Very Hard
M21,NGC 6531,Open Cluster,Sagittarius,18h 4.6m,-22°30,6.5,13,"4,250",Summer,Moderate
M22,NGC 6656,Globular Cluster,Sagittarius,18h 36.4m,-23°54,5.1,24,"10,100",Summer,Very Easy
M23,NGC 6494,Open Cluster,Sagittarius,17h 56.8m,-19°1,6.9,27,"2,150",Summer,Easy
M24,NGC 6603 Milky Way Patch,Star Cloud,Sagittarius,18h 18.4m,-18°25,4.6,90,"10,000",Summer,Moderate
M25,IC 4725,Open Cluster,Sagittarius,18h 31.7m,-19°14,6.5,40,"2,000",Summer,Easy
M26,NGC 6694,Open Cluster,Scutum,18h 45.2m,-9°24,8,15,"5,000",Summer,Moderate
